コメント,メンバー,ハッシュタグ
自分なんかどうせダメだと思わずに 頑張ってみよう 誰かがきっと見ててくれる,#ゆっくりと咲く花,#乃木坂46 #歌詞
スタッフさんにも『おまえに任せた』くらいに言われて。『やらなきゃ！』って、やっと本気で物事を考えるスイッチが入った気がしました,#伊藤万理華,#乃木坂46 #名言
小百合がケガから戻ってきてから、どんどん強くなっていくのを感じました,#伊藤万理華,#乃木坂46 #名言
１年、私は「アンダーを知ってほしい」という使命感で生きてきました。そして、セカンドのアンダーライブが始まって、小百合と話したんです。『このライブで乃木坂をかえよう』って,#伊藤万理華,#乃木坂46 #名言
決して倒れない人になろうとするのではなく 必ず起き上がることができる人になろう,#井上小百合,#乃木坂46 #名言
自分だけの幸せは、幸せだと思わない,#井上小百合,#乃木坂46 #名言
私たちのことを見つけてくれて ありがとうございました,#井上小百合,#乃木坂46 #名言
ライブが始まる前の『Overture』が鳴ったとき、手をつないでくれたんです。幕が開くギリギリまでギュッて,#井上小百合,#乃木坂46 #名言
そこで覚悟が決まりました。自分のために頑張るんじゃなくて、メンバーのため、グループのために頑張る。すべての思いを背負って、私はここに立たなきゃいけないんだって,#井上小百合,#乃木坂46 #名言
どんなにアンダーと呼ばれようとも、私はこのメンバーのことを誇りに思います,#井上小百合,#乃木坂46 #名言
空は飛ぶためにある 見上げるためじゃない,#羽根の記憶,#乃木坂46 #歌詞
膨大な時間と何だってできる可能性 自由はそこにある,#何度目の青空か？,#乃木坂46 #歌詞
いつかやるつもりと 頭の中で思ってても 永遠は短い ,#何度目の青空か？,#乃木坂46 #歌詞
こうだからこうして欲しい 交換条件みたいな 安い願いは本物じゃなく ただの自己満足,#価値あるもの,#乃木坂46 #歌詞
さくちゃんは最近は強さが表に出るようになったと思います。もともと『俺が守ってあげたい』という雰囲気がありつつ、『やっぱり俺はいらないかも』と思わせる芯の強さはあったけど（笑）,#賀喜遥香,#乃木坂46 #名言
（清宮）レイちゃんがいることが４期生の強みだし～,#賀喜遥香,#乃木坂46 #名言
裏で４期生をまとめてくれてるのは（清宮）レイちゃんですね。生徒会長をやっていたこともあって、上手いんですよ,#賀喜遥香,#乃木坂46 #名言
